first,system:index,lat,lon
6.84456378077086E-6,0,-8.625,113.375
,1,-8.625,113.625
,2,-8.375,110.875
,3,-8.375,111.125
,4,-8.375,111.375
,5,-8.375,111.625
,6,-8.375,111.875
,7,-8.375,112.125
,8,-8.375,112.375
,9,-8.375,112.625
,10,-8.375,112.875
,11,-8.375,113.125
,12,-8.375,113.375
,13,-8.375,113.625
,14,-8.125,110.125
,15,-8.125,110.375
,16,-8.125,110.625
,17,-8.125,110.875
,18,-8.125,111.125
,19,-8.125,111.375
,20,-8.125,111.625
,21,-8.125,111.875
,22,-8.125,112.125
,23,-8.125,112.375
,24,-8.125,112.625
,25,-8.125,112.875
,26,-8.125,113.125
,27,-8.125,113.375
,28,-8.125,113.625
,29,-7.875,108.125
,30,-7.875,108.375
,31,-7.875,108.625
,32,-7.875,108.875
,33,-7.875,109.125
,34,-7.875,109.375
,35,-7.875,109.625
,36,-7.875,109.875
,37,-7.875,110.125
,38,-7.875,110.375
,39,-7.875,110.625
,40,-7.875,110.875
,41,-7.875,111.125
,42,-7.875,111.375
,43,-7.875,111.625
,44,-7.875,111.875
,45,-7.875,112.125
,46,-7.875,112.375
,47,-7.875,112.625
,48,-7.875,112.875
,49,-7.875,113.125
,50,-7.875,113.375
,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
,54,-7.625,107.875
,55,-7.625,108.125
,56,-7.625,108.375
,57,-7.625,108.625
,58,-7.625,108.875
,59,-7.625,109.125
,60,-7.625,109.375
,61,-7.625,109.625
,62,-7.625,109.875
,63,-7.625,110.125
,64,-7.625,110.375
,65,-7.625,110.625
,66,-7.625,110.875
,67,-7.625,111.125
,68,-7.625,111.375
,69,-7.625,111.625
,70,-7.625,111.875
,71,-7.625,112.125
,72,-7.625,112.375
,73,-7.625,112.625
,74,-7.625,112.875
,75,-7.625,113.125
,76,-7.625,113.375
,77,-7.625,113.625
,78,-7.375,106.375
,79,-7.375,106.625
,80,-7.375,106.875
,81,-7.375,107.125
,82,-7.375,107.375
,83,-7.375,107.625
,84,-7.375,107.875
,85,-7.375,108.125
,86,-7.375,108.375
,87,-7.375,108.625
,88,-7.375,108.875
,89,-7.375,109.125
,90,-7.375,109.375
,91,-7.375,109.625
,92,-7.375,109.875
,93,-7.375,110.125
,94,-7.375,110.375
,95,-7.375,110.625
,96,-7.375,110.875
,97,-7.375,111.125
,98,-7.375,111.375
,99,-7.375,111.625
,100,-7.375,111.875
,101,-7.375,112.125
,102,-7.375,112.375
,103,-7.375,112.625
,104,-7.375,112.875
,105,-7.375,113.125
,106,-7.375,113.625
,107,-7.125,105.625
,108,-7.125,106.375
,109,-7.125,106.625
,110,-7.125,106.875
,111,-7.125,107.125
,112,-7.125,107.375
,113,-7.125,107.625
,114,-7.125,107.875
,115,-7.125,108.125
,116,-7.125,108.375
,117,-7.125,108.625
,118,-7.125,108.875
,119,-7.125,109.125
,120,-7.125,109.375
,121,-7.125,109.625
,122,-7.125,109.875
,123,-7.125,110.125
,124,-7.125,110.375
,125,-7.125,110.625
,126,-7.125,110.875
,127,-7.125,111.125
,128,-7.125,111.375
,129,-7.125,111.625
,130,-7.125,111.875
,131,-7.125,112.125
,132,-7.125,112.375
,133,-7.125,112.625
,134,-7.125,112.875
,135,-7.125,113.125
,136,-7.125,113.375
,137,-7.125,113.625
,138,-6.875,105.125
,139,-6.875,105.375
,140,-6.875,105.625
8.394729805360462E-6,141,-6.875,105.875
,142,-6.875,106.125
,143,-6.875,106.375
,144,-6.875,106.625
,145,-6.875,106.875
,146,-6.875,107.125
,147,-6.875,107.375
,148,-6.875,107.625
,149,-6.875,107.875
,150,-6.875,108.125
,151,-6.875,108.375
,152,-6.875,108.625
,153,-6.875,108.875
4.0361424955182245E-5,154,-6.875,109.125
,155,-6.875,109.375
,156,-6.875,109.625
,157,-6.875,109.875
2.196171390301644E-5,158,-6.875,110.125
3.466538335678509E-5,159,-6.875,110.375
,160,-6.875,110.625
,161,-6.875,110.875
,162,-6.875,111.125
,163,-6.875,111.375
,164,-6.875,111.625
,165,-6.875,111.875
,166,-6.875,112.125
,167,-6.875,112.375
,168,-6.875,112.625
,169,-6.875,112.875
,170,-6.875,113.125
,171,-6.875,113.375
,172,-6.875,113.625
,173,-6.625,105.125
,174,-6.625,105.375
,175,-6.625,105.625
,176,-6.625,105.875
,177,-6.625,106.125
,178,-6.625,106.375
1.737005555054406E-5,179,-6.625,106.625
,180,-6.625,106.875
,181,-6.625,107.125
,182,-6.625,107.375
,183,-6.625,107.625
,184,-6.625,107.875
,185,-6.625,108.125
,186,-6.625,108.375
,187,-6.625,108.625
,188,-6.625,108.875
3.9942189580202514E-5,189,-6.625,110.625
,190,-6.625,110.875
,191,-6.625,111.125
,192,-6.625,111.375
,193,-6.625,111.625
,194,-6.375,105.625
,195,-6.375,105.875
,196,-6.375,106.125
,197,-6.375,106.375
1.737005551746255E-5,198,-6.375,106.625
,199,-6.375,106.875
,200,-6.375,107.125
,201,-6.375,107.375
,202,-6.375,107.625
,203,-6.375,107.875
,204,-6.375,108.125
,205,-6.375,108.375
,206,-6.375,108.625
,207,-6.375,110.625
,208,-6.375,110.875
,209,-6.375,111.125
,210,-6.125,105.375
,211,-6.125,105.875
4.575842906013087E-6,212,-6.125,106.125
,213,-6.125,106.375
